sex,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,c_charge_desc,is_recid,is_violent_recid,c_length_of_stay,custody_length_of_stay,two_year_recid
1,0,0,0,1,0,10,0,0.0660601819454163,1,0,176.01,41.0,1
1,2,0,0,0,0,0,0,0.0078376487053883,1,0,0.88,0.0,1
1,0,0,0,12,2,28,0,0.0279916025192442,1,0,1.83,1.0,1
1,0,0,0,0,0,1,1,0.1577326801959412,0,0,1.19,1.0,0
0,0,5,0,0,0,1,0,0.0043386983904828,0,0,1.11,8.0,0
1,0,2,0,0,0,13,0,0.158852344296711,1,1,471.26,471.0,1
1,0,0,0,0,0,3,0,0.0660601819454163,1,0,0.97,1.0,1
1,1,0,0,0,0,8,0,0.158852344296711,0,0,79.96,80.0,0
1,1,2,0,0,0,3,1,0.1577326801959412,0,0,0.63,1.0,0
1,0,0,0,0,0,19,0,0.158852344296711,1,0,0.87,32.0,1
0,1,2,0,0,0,2,1,0.0062981105668299,0,0,0.89,0.0,0
1,2,2,0,0,0,4,0,0.006997900629811,1,0,14.23,19.0,1
1,0,2,0,0,0,6,0,0.006997900629811,0,0,0.87,86.0,0
0,0,2,0,0,0,2,0,0.158852344296711,0,0,3.04,21.0,0
1,0,2,0,0,0,1,1,0.0009797060881735,0,0,3.81,4.0,0
1,0,2,0,0,0,2,0,0.158852344296711,0,0,1.28,2.0,0
0,0,5,0,0,0,2,1,0.0054583624912526,0,0,1.73,2.0,0
1,0,2,0,0,0,0,1,0.0022393282015395,1,0,0.89,0.0,1
0,2,0,0,0,0,0,1,0.1577326801959412,0,0,2.44,2.0,0
0,0,2,0,1,0,10,0,0.0594821553533939,1,0,7.1,38.0,1
1,0,2,0,0,0,2,1,0.1577326801959412,1,0,0.98,0.0,1
0,0,3,0,0,0,4,0,0.0076976906927921,1,1,0.32,241.0,1
1,0,0,0,0,0,3,0,0.0660601819454163,1,0,8.06,8.0,1
1,0,2,0,0,0,2,1,0.0062981105668299,1,0,15.13,15.0,1
1,0,0,0,0,0,1,1,0.0002799160251924,1,0,1.07,1.0,0
1,1,2,0,0,0,1,0,0.0660601819454163,1,0,0.58,55.0,1
0,1,2,0,0,0,4,0,0.158852344296711,0,0,1.28,2.0,0
0,2,0,1,0,0,1,0,0.158852344296711,0,0,2.77,9.0,0
0,0,2,0,0,0,0,1,0.0079776067179846,0,0,0.97,1.0,0
1,0,0,1,1,0,9,0,0.0660601819454163,1,0,13.13,1.0,1
1,0,0,0,0,0,11,0,0.0053184044786564,1,1,1.28,36.0,1
1,0,0,0,0,0,8,1,0.005738278516445,1,1,0.75,0.0,1
0,0,0,0,0,0,0,0,0.0036389083275017,1,0,1.79,35.0,1
0,0,0,0,0,0,7,0,0.0660601819454163,1,0,26.18,19.0,1
1,0,0,0,0,0,2,0,0.0065780265920223,1,0,1.08,0.0,1
0,2,0,0,0,0,0,0,0.0594821553533939,0,0,0.16,0.0,0
0,0,2,0,0,0,0,1,0.0005598320503848,0,0,0.89,1.0,0
0,1,0,0,0,0,1,0,0.0001399580125962,1,0,0.76,1.0,1
1,1,5,0,0,0,13,0,0.009517144856543,1,0,1.74,0.0,1
1,1,3,0,0,0,1,0,0.158852344296711,0,0,14.81,15.0,0
0,0,0,0,0,0,4,0,0.158852344296711,1,1,6.81,118.0,1
1,0,3,0,0,0,1,0,0.0594821553533939,0,0,0.89,1.0,0
0,1,5,0,0,0,1,0,0.0005598320503848,0,0,1.28,2.0,0
0,0,0,0,0,0,2,1,0.0188943317004898,1,0,0.76,1.0,1
1,1,0,0,0,0,3,1,0.1577326801959412,0,0,1.09,1.0,0
1,0,2,1,0,0,1,1,0.1577326801959412,0,0,3.92,4.0,0
0,0,2,0,0,0,3,0,0.0002799160251924,1,0,530.08,530.0,1
1,0,0,0,0,0,1,0,0.0008397480755773,0,0,70.13,3.0,0
1,1,2,0,0,0,2,1,0.1577326801959412,0,0,0.83,1.0,0
1,2,0,0,0,0,1,0,0.158852344296711,0,0,0.87,188.0,0
1,1,2,0,0,0,6,0,0.0279916025192442,1,0,22.67,23.0,1
0,1,2,0,0,0,6,0,0.0043386983904828,0,0,5.02,5.0,0
1,0,2,0,0,0,0,0,0.001959412176347,0,0,2.27,50.0,0
1,0,0,0,0,0,1,1,0.1577326801959412,1,0,1.92,4.0,1
1,2,3,0,0,0,0,0,0.0100769769069279,0,0,0.04,0.0,0
0,0,0,0,0,0,5,0,0.0061581525542337,0,0,1.1,1.0,0
1,1,3,0,0,0,2,1,0.0016794961511546,0,0,3.08,35.0,0
1,1,0,0,0,0,8,0,0.0660601819454163,0,0,15.66,16.0,0
0,0,2,0,0,0,6,0,0.0660601819454163,0,0,105.86,188.0,0
1,1,2,0,0,0,1,0,0.0594821553533939,0,0,18.33,18.0,0
1,0,3,0,0,0,8,0,0.158852344296711,1,0,117.23,117.0,1
1,0,0,0,0,0,6,1,0.0062981105668299,1,1,0.69,16.0,1
1,1,3,0,0,0,2,0,0.0117564730580825,0,0,188.38,188.0,0
1,1,3,0,0,0,0,0,0.0036389083275017,0,0,0.68,77.0,0
1,1,2,0,0,0,1,1,0.0188943317004898,1,0,0.86,1.0,1
1,1,2,0,0,0,0,0,0.0660601819454163,0,0,1.16,1.0,0
1,2,5,0,0,0,0,0,0.0117564730580825,0,0,1.98,2.0,0
1,0,0,2,2,1,22,0,0.0023792862141357,1,0,33.94,28.0,1
1,2,0,0,0,0,1,0,0.0134359692092372,1,0,0.0,0.0,1
1,1,0,0,0,0,23,1,0.0134359692092372,1,0,0.87,34.0,1
1,2,0,0,0,0,0,1,0.1577326801959412,1,0,1.04,9.0,1
1,1,3,0,0,0,1,0,0.0279916025192442,0,0,19.7,20.0,0
0,0,2,0,0,0,2,0,0.0660601819454163,1,0,0.99,8.0,1
1,1,0,0,0,0,3,0,0.004478656403079,1,1,2.01,2.0,0
1,1,2,0,0,0,8,1,0.0067179846046186,1,0,71.07,11.0,1
0,1,5,0,0,0,0,1,0.1577326801959412,1,0,1.28,2.0,1
1,0,0,0,0,0,13,0,0.0023792862141357,1,0,97.16,97.0,1
1,0,0,0,0,0,2,1,0.1577326801959412,1,1,0.22,32.0,1
1,0,2,0,0,0,0,0,0.0037788663400979,1,0,0.92,1.0,1
1,0,0,0,0,0,9,0,0.0040587823652904,1,0,79.3,106.0,1
1,1,2,0,0,0,2,0,0.0013995801259622,0,0,358.97,359.0,0
1,2,0,0,0,0,0,0,0.0106368089573128,1,1,0.98,193.0,1
1,0,0,0,0,0,2,1,0.1577326801959412,1,0,25.72,23.0,0
0,2,0,0,0,0,1,1,0.1577326801959412,0,0,0.83,1.0,0
1,0,5,0,0,0,2,1,0.1577326801959412,1,0,2.99,77.0,1
1,1,2,0,0,0,1,0,0.0001399580125962,0,0,1.73,1.0,0
0,0,2,0,0,0,0,1,0.0013995801259622,0,0,0.25,0.0,0
1,0,2,0,0,0,4,1,0.1577326801959412,0,0,1.24,1.0,0
0,0,0,0,1,0,23,0,0.009517144856543,1,0,2.09,2.0,1
1,2,5,0,0,0,5,0,0.158852344296711,1,0,0.85,1.0,1
1,0,0,0,0,0,2,0,0.0022393282015395,1,0,1.14,18.0,1
1,0,0,0,0,0,0,1,0.0020993701889433,0,0,2.73,3.0,0
0,0,0,0,0,0,0,0,0.0090972708187543,0,0,29.12,29.0,0
1,0,2,0,0,0,11,0,0.158852344296711,1,1,121.23,384.0,1
0,0,2,0,0,0,7,0,0.009517144856543,1,0,1.02,1504.0,1
1,0,0,0,0,0,2,0,0.0279916025192442,0,0,1.22,0.0,0
1,0,2,0,0,0,2,1,0.0005598320503848,0,0,36.01,36.0,0
0,0,0,0,0,0,1,0,0.158852344296711,0,0,38.83,79.0,0
1,1,2,0,0,0,7,0,0.0134359692092372,1,0,0.61,1.0,1
1,0,0,0,0,0,15,0,0.0660601819454163,0,0,1.76,2.0,0
1,0,0,0,0,0,2,1,0.0134359692092372,0,0,0.74,1.0,0
1,1,0,0,0,0,3,0,0.158852344296711,0,0,218.59,219.0,0
1,0,3,0,0,0,0,1,0.0103568929321203,0,0,1.28,2.0,0
1,1,2,0,0,0,1,0,0.158852344296711,0,0,0.85,1.0,0
0,1,2,0,0,0,0,1,0.0188943317004898,1,1,0.72,67.0,1
1,1,2,0,0,0,0,1,0.1577326801959412,0,0,0.89,1.0,0
1,0,5,0,0,0,1,1,0.0134359692092372,1,0,1.07,0.0,1
1,1,0,0,0,0,0,0,0.0001399580125962,0,0,1.1,1.0,0
1,0,2,0,0,0,4,0,0.158852344296711,1,0,1.85,2.0,1
0,0,0,0,0,0,2,0,0.0594821553533939,0,0,2.8,3.0,0
0,0,0,0,0,0,5,1,0.1577326801959412,0,0,0.24,0.0,0
1,0,0,0,0,0,11,0,0.0029391182645206,1,0,223.17,223.0,1
1,0,0,0,0,0,0,1,0.1577326801959412,1,1,1.78,13.0,0
1,0,5,0,0,0,4,0,0.0033589923023093,1,0,2.14,2.0,1
1,1,0,0,0,0,11,0,0.0137158852344296,0,0,129.88,130.0,0
1,2,0,0,0,0,2,0,0.0008397480755773,0,0,71.85,72.0,0
0,0,0,0,0,0,2,0,0.158852344296711,1,0,226.99,227.0,1
1,0,0,0,0,0,0,1,0.1577326801959412,0,0,0.87,1.0,0
1,1,2,0,0,0,0,0,0.0011196641007697,0,0,0.9,1.0,0
1,0,2,0,0,0,13,0,0.0279916025192442,1,0,51.33,230.0,1
1,1,0,0,0,0,0,0,0.0078376487053883,0,0,13.94,14.0,0
1,0,2,0,0,0,1,0,0.158852344296711,0,0,3.27,3.0,0
1,0,0,0,0,2,11,1,0.1577326801959412,1,1,1.22,6.0,1
1,0,2,0,0,0,1,0,0.0020993701889433,0,0,6.17,6.0,0
1,2,0,0,0,0,0,0,0.0134359692092372,0,0,0.92,1.0,0
1,0,0,0,0,0,4,0,0.0279916025192442,0,0,0.87,0.0,0
1,0,3,0,0,0,4,0,0.0106368089573128,0,0,1.22,1.0,0
1,0,2,0,0,0,0,0,0.0117564730580825,1,0,30.98,42.0,1
1,0,2,0,0,0,0,0,0.0594821553533939,1,0,35.01,18.0,1
1,0,0,0,1,0,14,0,0.0074177746675997,0,0,1.15,1.0,0
1,0,0,0,1,0,4,1,0.0134359692092372,0,0,75.91,76.0,0
1,1,2,0,0,0,1,1,0.1577326801959412,0,0,1.05,1.0,0
1,0,0,0,0,0,25,0,0.158852344296711,1,0,25.97,26.0,1
1,0,2,0,0,0,8,1,0.1577326801959412,1,0,4.99,5.0,1
1,0,0,0,0,0,0,0,0.0594821553533939,0,0,0.34,0.0,0
1,2,2,0,0,1,1,1,0.0001399580125962,1,0,5.94,7.0,1
0,0,5,0,0,0,0,1,0.1577326801959412,0,0,1.0,1.0,0
0,0,5,0,0,0,3,0,0.0279916025192442,0,0,1.0,1.0,0
1,0,2,0,0,0,8,0,0.0134359692092372,1,1,22.2,22.0,1
1,0,2,0,0,0,4,0,0.0034989503149055,0,0,62.38,62.0,0
1,2,0,0,0,0,3,1,0.001959412176347,1,1,0.8,16.0,1
0,2,2,0,0,0,1,1,0.1577326801959412,1,1,29.16,1.0,1
1,0,0,0,0,0,3,1,0.0029391182645206,1,0,6.77,2.0,1
0,0,3,0,0,0,0,1,0.1577326801959412,0,0,0.92,1.0,0
1,2,3,0,0,1,1,0,0.158852344296711,1,0,1.26,1.0,1
0,2,2,0,0,4,5,0,0.158852344296711,1,0,0.76,1.0,1
1,2,3,0,0,0,0,1,0.0134359692092372,0,0,0.66,1.0,0
1,0,0,0,0,0,1,1,0.1577326801959412,0,0,0.96,1.0,0
1,2,0,0,0,0,1,0,0.0051784464660601,1,1,1.13,121.0,1
1,0,0,0,0,0,2,0,0.0051784464660601,1,0,1.73,2.0,1
1,0,5,0,0,0,0,0,0.0001399580125962,0,0,0.9,1.0,0
1,0,0,0,0,0,4,0,0.158852344296711,0,0,0.97,13.0,0
1,0,2,0,0,0,2,1,0.158852344296711,1,0,10.82,11.0,0
0,0,0,0,0,0,2,0,0.158852344296711,0,0,0.79,14.0,0
1,2,0,0,0,0,0,0,0.0043386983904828,0,0,2.77,3.0,0
1,2,3,0,0,1,0,0,0.0100769769069279,0,0,2.06,7.0,0
0,1,0,0,0,0,0,0,0.010776766969909,0,0,0.66,1.0,0
0,2,0,0,0,0,0,0,0.0051784464660601,1,0,3.79,4.0,1
0,1,0,0,0,0,0,0,0.0085374387683694,0,0,1.85,2.0,0
1,1,0,0,0,0,8,0,0.0040587823652904,1,0,1.28,780.0,1
1,0,2,0,0,0,0,0,0.001959412176347,0,0,0.19,5.0,0
1,0,2,0,0,0,0,0,0.0594821553533939,1,1,1.72,242.0,1
1,0,0,0,0,0,11,0,0.0012596221133659,1,0,1.01,1.0,1
1,2,0,0,1,1,3,1,0.1577326801959412,1,0,1.35,2.0,1
0,2,2,0,0,0,1,0,0.0134359692092372,0,0,0.96,1.0,0
1,0,0,0,0,0,2,0,0.158852344296711,0,0,1.28,261.0,0
1,0,2,0,0,0,2,0,0.158852344296711,0,0,40.06,40.0,0
0,0,0,0,0,0,2,1,0.0076976906927921,0,0,0.95,1.0,0
0,0,5,0,0,0,0,0,0.0085374387683694,0,0,0.91,1.0,0
1,0,0,0,0,0,24,1,0.0011196641007697,0,0,117.68,118.0,0
1,1,0,0,0,0,3,0,0.0660601819454163,1,0,24.92,42.0,1
1,0,0,0,0,0,0,0,0.0138558432470258,0,0,41.01,41.0,0
1,0,2,0,0,0,3,0,0.158852344296711,0,0,2.89,3.0,0
1,0,0,0,0,0,3,1,0.0134359692092372,1,1,2.72,3.0,1
1,1,2,0,0,0,1,1,0.1577326801959412,0,0,12.98,13.0,0
1,1,2,0,0,0,6,0,0.0660601819454163,1,0,0.95,2.0,1
1,1,2,0,0,0,3,0,0.158852344296711,0,0,14.22,14.0,0
1,2,0,0,0,0,0,1,0.0054583624912526,1,0,1.12,1.0,1
1,0,0,0,0,0,1,1,0.1577326801959412,1,1,1.85,11.0,1
1,0,3,0,0,0,3,0,0.0043386983904828,1,0,1.93,2.0,1
1,0,2,0,0,0,5,1,0.1577326801959412,0,0,1.19,1.0,0
1,2,0,0,0,0,1,0,0.0594821553533939,1,0,48.07,10.0,1
1,0,0,0,0,0,5,1,0.0090972708187543,0,0,0.96,1.0,0
1,2,2,0,0,0,0,0,0.0085374387683694,1,0,0.65,1.0,1
1,0,0,0,0,0,5,0,0.0036389083275017,1,0,2.82,3.0,1
1,0,0,0,0,0,2,0,0.158852344296711,0,0,83.33,83.0,0
1,0,0,0,0,0,6,0,0.0074177746675997,1,0,2.86,3.0,1
1,2,5,0,0,0,0,0,0.0006997900629811,0,0,1.06,1.0,0
1,0,2,0,0,0,1,1,0.0188943317004898,1,1,0.09,1.0,1
1,1,2,0,0,0,2,0,0.0004198740377886,0,0,1.78,2.0,0
0,2,0,0,0,0,0,1,0.1577326801959412,0,0,0.87,1.0,0
1,2,0,0,0,0,1,0,0.0008397480755773,1,0,36.18,11.0,0
1,2,0,0,0,1,4,1,0.0134359692092372,1,0,11.17,4.0,1
1,1,2,0,0,0,0,0,0.0034989503149055,0,0,1.95,1.0,0
1,0,0,1,0,1,4,1,0.0134359692092372,1,0,0.79,1.0,1
1,0,2,0,0,0,5,0,0.0076976906927921,0,0,10.96,11.0,0
1,0,5,0,0,0,2,0,0.0594821553533939,1,0,7.9,8.0,1
0,0,0,0,0,0,5,0,0.0090972708187543,0,0,0.91,0.0,0
1,2,3,0,0,0,0,0,0.010776766969909,0,0,45.92,14.0,0
1,0,0,0,0,0,0,1,0.1577326801959412,0,0,0.8,1.0,0
1,0,2,0,0,0,0,1,0.1577326801959412,1,0,1.22,1.0,1
1,0,2,0,0,0,3,1,0.1577326801959412,1,0,0.97,0.0,1
0,0,2,0,0,0,0,0,0.0660601819454163,0,0,1.11,19.0,0
1,2,5,0,1,0,9,0,0.008257522743177,1,1,4.62,5.0,1
1,0,0,0,0,0,0,0,0.0090972708187543,0,0,17.23,17.0,0
1,2,0,0,0,0,0,0,0.0137158852344296,1,0,0.84,4.0,1
0,1,2,0,0,0,0,1,0.0076976906927921,0,0,1.28,1.0,0
1,1,2,0,0,0,0,1,0.0001399580125962,0,0,1.24,1.0,0
1,0,0,0,0,0,7,0,0.158852344296711,0,0,1.18,1.0,0
1,2,0,0,0,0,0,0,0.0594821553533939,1,0,209.9,15.0,1
1,1,2,0,0,0,6,0,0.158852344296711,0,0,174.08,174.0,0
1,0,2,0,0,0,8,0,0.158852344296711,0,0,68.14,239.0,0
1,2,0,0,1,0,2,0,0.0054583624912526,1,1,19.12,53.0,1
1,1,2,0,0,0,36,0,0.0016794961511546,1,0,32.99,1.0,1
1,0,2,0,0,0,2,1,0.1577326801959412,1,1,1.22,1.0,1
1,1,0,0,0,0,1,0,0.0043386983904828,0,0,1.28,2.0,0
1,2,3,0,1,0,3,0,0.0594821553533939,1,0,22.07,24.0,0
0,0,0,0,0,0,0,0,0.0090972708187543,0,0,12.0,12.0,0
0,0,2,0,0,0,2,1,0.0054583624912526,1,0,1.05,9.0,1
0,2,3,0,0,0,1,1,0.0058782365290412,1,0,0.43,10.0,0
1,0,2,0,0,0,1,0,0.0134359692092372,0,0,1.18,1.0,0
0,2,0,0,0,0,0,0,0.001959412176347,1,0,1.18,0.0,1
1,0,2,0,0,0,0,1,0.0067179846046186,0,0,0.7,1.0,0
1,2,0,0,0,0,0,0,0.0594821553533939,0,0,0.74,1.0,0
1,0,0,0,0,0,3,0,0.158852344296711,1,0,32.02,32.0,1
1,0,5,0,0,0,1,0,0.158852344296711,1,0,0.62,1.0,1
1,0,0,0,0,0,0,0,0.0085374387683694,0,0,1.25,1.0,0
0,0,2,0,0,0,0,1,0.1577326801959412,0,0,3.91,4.0,0
1,1,3,0,0,0,1,1,0.005738278516445,0,0,1.15,1.0,0
1,0,5,0,0,0,3,0,0.0138558432470258,0,0,3.03,3.0,0
0,0,0,0,0,0,2,0,0.158852344296711,0,0,1.94,27.0,0
1,0,0,0,1,0,12,0,0.158852344296711,1,1,1.55,2.0,1
1,2,0,0,0,1,1,0,0.0594821553533939,0,0,1.09,1.0,0
1,1,0,0,0,0,3,0,0.0043386983904828,0,0,0.19,1.0,0
0,0,3,0,0,0,1,0,0.0660601819454163,1,0,2.04,2.0,1
1,0,2,0,0,0,0,0,0.0004198740377886,0,0,19.03,2.0,0
1,2,0,0,2,0,2,0,0.0053184044786564,1,0,1.19,1.0,1
1,0,3,0,0,0,0,1,0.1577326801959412,0,0,2.09,2.0,0
1,0,5,0,0,0,0,1,0.1577326801959412,0,0,0.83,1.0,0
0,2,2,0,0,2,0,0,0.0660601819454163,0,0,0.17,0.0,0
1,1,2,0,0,0,0,1,0.0061581525542337,0,0,0.95,1.0,0
